mouse,human
Snrpb2,SNRPB2
Bag1,BAG1
Entrep1,ENTREP1
Rufy3,RUFY3
Snx11,SNX11
Arfgap2,ARFGAP2
Tyw5,TYW5
Tbc1d9,TBC1D9
Sirt1,SIRT1
Npc1,NPC1
Mastl,MASTL
Unc13c,UNC13C
Traf7,TRAF7
Mief2,MIEF2
Spock2,SPOCK2
E2f8,E2F8
Rpap2,RPAP2
Trip12,TRIP12
Gpat2,GPAT2
Ncapg,NCAPG
Lsm11,LSM11
Acyp1,ACYP1
Tmem161a,TMEM161A
Ccdc40,CCDC40
Gdpd4,GDPD4
Slc60a1,SLC60A1
Pygm,PYGM
Trmt1,TRMT1
Pik3c2b,PIK3C2B
Lmf2,LMF2
Pih1d1,PIH1D1
Itlnb,ITLN1
Kcnk1,KCNK1
Mast2,MAST2
Gpt2,GPT2
Fam169a,FAM169A
Gatad1,GATAD1
Naa20,NAA20
Lap3,LAP3
2900026A02Rik,KIAA1671
Wfs1,WFS1
Pcdh15,PCDH15
St3gal4,ST3GAL4
Prr18,PRR18
Elmo1,ELMO1
Micos13,MICOS13
Prob1,PROB1
Mlip,MLIP
Nup98,NUP98
Ppif,PPIF
Stra6,STRA6
Edc3,EDC3
Sfxn4,SFXN4
Ciao3,CIAO3
Mybl1,MYBL1
Ggh,GGH
Pomgnt1,POMGNT1
Aldh16a1,ALDH16A1
Tfb1m,TFB1M
Glb1l,GLB1L
Zfp628,ZNF628
Me3,ME3
Ubxn8,UBXN8
Prkra,PRKRA
Serinc2,SERINC2
Map1a,MAP1A
Usp20,USP20
Kcnk6,KCNK6
Myo5a,MYO5A
Enpep,ENPEP
Mlf1,MLF1
Prune2,PRUNE2
Serpine3,SERPINE3
Mlh3,MLH3
Ctcf,CTCF
Wnk3,WNK3
Inpp5e,INPP5E
Fh1,FH
Fam120a,FAM120A
Tmem268,TMEM268
Iqgap1,IQGAP1
Sertad2,SERTAD2
Slc36a4,SLC36A4
Igsf9b,IGSF9B
Hunk,HUNK
Fbxl3,FBXL3
Pomt2,POMT2
Obsl1,OBSL1
Ireb2,IREB2
Ppp1r3a,PPP1R3A
Golga5,GOLGA5
Psmg3,PSMG3
Aar2,AAR2
Mysm1,MYSM1
Agxt2,AGXT2
Ptbp2,PTBP2
Dhx8,DHX8
Pard3b,PARD3B
Atg10,ATG10
Snx10,SNX10
Tmem42,TMEM42
Thoc7,THOC7
Fermt3,FERMT3
Mgme1,MGME1
Comp,COMP
Zfp143,ZNF143
Dock8,DOCK8
Mprip,MPRIP
Rassf6,RASSF6
C330018D20Rik,C5orf63
Tmem186,TMEM186
Mfhas1,MFHAS1
Adrb3,ADRB3
Tmem259,TMEM259
Hmx1,HMX1
Tspan15,TSPAN15
Rbm33,RBM33
Fam193a,FAM193A
Myo9a,MYO9A
Tdrd1,TDRD1
Epb41l1,EPB41L1
Sh3pxd2b,SH3PXD2B
Irf5,IRF5
Borcs5,BORCS5
Jam2,JAM2
Ccdc86,CCDC86
Npm2,NPM2
Amn,AMN
Clcn7,CLCN7
Nav2,NAV2
Setd1b,SETD1B
Mief1,MIEF1
Arid3a,ARID3A
Lmbr1,LMBR1
Susd2,SUSD2
Commd8,COMMD8
Btbd8,BTBD8
Gtf3c5,GTF3C5
Nxf1,NXF1
Vip,VIP
Rexo4,REXO4
Vstm4,VSTM4
Ehbp1l1,EHBP1L1
Pdp1,PDP1
Plk2,PLK2
Chst4,CHST4
Ano9,ANO9
Mcoln3,MCOLN3
Ubxn7,UBXN7
Pkmyt1,PKMYT1
Plpp1,PLPP1
Kmt2d,KMT2D
Mdfi,MDFI
Sdhaf1,SDHAF1
Exoc1l,EXOC1L
Synpo2,SYNPO2
Cmbl,CMBL
Tbr1,TBR1
Kdm5c,KDM5C
Ddr1,DDR1
Emc1,EMC1
Slco2b1,SLCO2B1
Tbc1d24,TBC1D24
Lemd3,LEMD3
Dcbld2,DCBLD2
Spock1,SPOCK1
Pcyt2,PCYT2
Rcn1,RCN1
Stx16,STX16
Ndufaf4,NDUFAF4
Smc1a,SMC1A
Polg2,POLG2
Zar1l,ZAR1L
Rbbp6,RBBP6
Fmn2,FMN2
Vcpkmt,VCPKMT
Utp20,UTP20
Pkd1l3,PKD1L3
Vsnl1,VSNL1
Map4k3,MAP4K3
Zfhx4,ZFHX4
Lin52,LIN52
Mbtd1,MBTD1
Trim69,TRIM69
Prkg1,PRKG1
Poglut3,POGLUT3
Coq7,COQ7
Sun1,SUN1
Snorc,SNORC
Wdr35,WDR35
Bdp1,BDP1
Lcn2,LCN2
Hint3,HINT3
Mtmr12,MTMR12
Trmt2b,TRMT2B
Mogs,MOGS
Mrpl49,MRPL49
Fbxl6,FBXL6
Polr1d,POLR1D
Nphp1,NPHP1
Slc12a4,SLC12A4
Limd1,LIMD1
Chchd1,CHCHD1
Ndst2,NDST2
Senp2,SENP2
Kdm3b,KDM3B
Mdc1,MDC1
Ppp3cc,PPP3CC
Ulk2,ULK2
Itgb6,ITGB6
Vps8,VPS8
Eya4,EYA4
Rbbp9,RBBP9
Scube1,SCUBE1
Bpnt2,BPNT2
Impg2,IMPG2
Patj,PATJ
Nos2,NOS2
Pcx,PC
Ing5,ING5
Inpp4a,INPP4A
Ins2,INS
Insl5,INSL5
Itgb3,ITGB3
Lmln,LMLN
Pdx1,PDX1
Ippk,IPPK
Ipmk,IPMK
Ipo13,IPO13
Drc11,DRC11
Drc10,DRC10
Iqcg,DRC9
Iqsec2,IQSEC2
Dcaf6,DCAF6
Insr,INSR
Rbp3,RBP3
Irf1,IRF1
Irf2,IRF2
Irf4,IRF4
Irx1,IRX1
Irx5,IRX5
Aco1,ACO1
Irs2,IRS2
Mkx,MKX
Sycp1,SYCP1
Iscu,ISCU
Irf9,IRF9
Isl1,ISL1
Isl2,ISL2
Ism2,ISM2
Crppa,CRPPA
Itch,ITCH
Fam234a,FAM234A
Itga11,ITGA11
Itgae,ITGAE
Eif6,EIF6
Itih1,ITIH1
Itih3,ITIH3
Oxtr,OXTR
Itpk1,ITPK1
Itpr1,ITPR1
Sycp2,SYCP2
Cops5,COPS5
Kcnj13,KCNJ13
Jag2,JAG2
Jak2,JAK2
Jam3,JAM3
Jarid2,JARID2
Kdm2a,KDM2A
Mapk8ip3,MAPK8IP3
Kdm4a,KDM4A
Kdm4b,KDM4B
Kdm4c,KDM4C
Kdm6b,KDM6B
Kdm8,KDM8
Jmjd6,JMJD6
Mapk8,MAPK8
Mapk9,MAPK9
Mapk10,MAPK10
Jph1,JPH1
Mtrex,MTREX
Junb,JUNB
Kcnk10,KCNK10
Kcnk18,KCNK18
Tnpo1,TNPO1
Klhl31,KLHL31
Kbtbd13,KBTBD13
Klhl40,KLHL40
Slc12a5,SLC12A5
Kcna10,KCNA10
Kcna3,KCNA3
Kcna6,KCNA6
Kcnab1,KCNAB1
Kcnb2,KCNB2
Kcnc1,KCNC1
Kcnf1,KCNF1
Kcng4,KCNG4
Kcnh1,KCNH1
Kcnh2,KCNH2
Kcnh4,KCNH4
Kcnh5,KCNH5
Kcnh7,KCNH7
Kcnip4,KCNIP4
Kcnj1,KCNJ1
Kcnj16,KCNJ16
Kcnj2,KCNJ2
Kcnk13,KCNK13
Kcnk2,KCNK2
Kcnma1,KCNMA1
Kcnmb1,KCNMB1
Kcnmb2,KCNMB2
Kcnn1,KCNN1
Kcnq1,KCNQ1
Kcnq5,KCNQ5
Kcnt1,KCNT1
Kcnt2,KCNT2
Kctd6,KCTD6
Kctd9,KCTD9
Poglut2,POGLUT2
Kdf1,KDF1
Kdr,KDR
Keap1,KEAP1
Med12l,MED12L
Med12,MED12
Zeb1,ZEB1
Klhl4,KLHL4
Wdr43,WDR43
Pclaf,PCLAF
2700049A03Rik,KIAA0586
Smchd1,SMCHD1
4933427D14Rik,KIAA0753
Dpy19l1,DPY19L1
Matcap2,MATCAP2
Khdc4,KHDC4
Dennd1a,DENND1A
Sh3bp5l,SH3BP5L
Kif26b,KIF26B
Kif3c,KIF3C
Kif5a,KIF5A
Erc1,ERC1
Havcr2,HAVCR2
Timd4,TIMD4
Kcnj4,KCNJ4
Kcnj14,KCNJ14
Kcnj10,KCNJ10
Kcnj8,KCNJ8
Kcnj11,KCNJ11
Kirrel1,KIRREL1
Kiss1r,KISS1R
Kiss1,KISS1
Kitl,KITLG
Klc4,KLC4
Klf11,KLF11
Klf3,KLF3
Klf13,KLF13
Zfp352,KLF18
Klf4,KLF4
Klf5,KLF5
Klf7,KLF7
Klf1,KLF1
Klhl42,KLHL42
Kbtbd12,KBTBD12
Klhl10,KLHL10
Klhl24,KLHL24
Klhl25,KLHL25
Ipp,IPP
Enc1,ENC1
Klhl38,KLHL38
Dynlrb1,DYNLRB1
Kcna4,KCNA4
Kcna7,KCNA7
Kif15,KIF15
Msmo1,MSMO1
Mafb,MAFB
Kremen1,KREMEN1
Poglut1,POGLUT1
Unc45a,UNC45A
Kcnc3,KCNC3
Zbtb4,ZBTB4
L1cam,L1CAM
Afg1l,AFG1L
Lsamp,LSAMP
Scrib,SCRIB
Large1,LARGE1
Larp4,LARP4
Cers5,CERS5
Cers6,CERS6
Slc7a5,SLC7A5
Vps39,VPS39
Acadl,ACADL
Med19,MED19
Tinagl1,TINAGL1
Tinag,TINAG
Lcp2,LCP2
Ldb1,LDB1
Ldb2,LDB2
Ldha,LDHA
Ldhc,LDHC
Ldhb,LDHB
Ldlr,LDLR
Kctd12,KCTD12
2310057J18Rik,C6orf58
Lenep,LENEP
Mboat7,MBOAT7
Lep,LEP
P3h1,P3H1
P3h3,P3H3
Zc3h15,ZC3H15
Letm2,LETM2
Cntf,CNTF
Lgals3bp,LGALS3BP
Lgals8,LGALS8
Dhx58,DHX58
Eif2d,EIF2D
Plod2,PLOD2
Lhfpl6,LHFPL6
Lhfpl2,LHFPL2
Lhfpl4,LHFPL4
Lhx6,LHX6
Ruvbl2,RUVBL2
Tnfsf14,TNFSF14
Lhx1,LHX1
Lhx3,LHX3
Lhx5,LHX5
Ift172,IFT172
Limk1,LIMK1
Lin28a,LIN28A
Lin54,LIN54
Tunar,TUNAR
Lingo1,LINGO1
Lingo2,LINGO2
Lins1,LINS1
Lipc,LIPC
Lpin2,LPIN2
Anxa1,ANXA1
Pafah1b1,PAFAH1B1
Slc12a2,SLC12A2
Slc39a6,SLC39A6
Stk11,STK11
Lmo3,LMO3
Lmod1,LMOD1
Agap2,AGAP2
Ilk,ILK
Adamts9,ADAMTS9
Ndufc1,NDUFC1
Nemp2,NEMP2
Prss16,PRSS16
Plcb4,PLCB4
Dnaaf1,DNAAF1
Esco2,ESCO2
Emc3,EMC3
Ncln,NCLN
Mr1,MR1
Tut4,TUT4
Tspan18,TSPAN18
Lonrf1,LONRF1
Cdipt,CDIPT
Lox,LOX
Loxhd1,LOXHD1
Lpar5,LPAR5
Lpar6,LPAR6
Ehhadh,EHHADH
Adgrl1,ADGRL1
Adgrl3,ADGRL3
Lpin1,LPIN1
Plpp3,PLPP3
Plppr1,PLPPR1
Plppr2,PLPPR2
Plppr3,PLPPR3
Plppr4,PLPPR4
Plppr5,PLPPR5
Vldlr,VLDLR
Lrit1,LRIT1
Lrit3,LRIT3
Lrp1b,LRP1B
Lrp5,LRP5
Nrros,NRROS
Lrrc38,LRRC38
Drc3,DRC3
Dnaaf11,DNAAF11
Ppp1r42,PPP1R42
Lrrc8a,LRRC8A
Cep97,CEP97
Lrrn3,LRRN3
Lrtm2,LRTM2
Lsm12,LSM12
Lsp1,LSP1
Lsr,LSR
Lta,LTA
Tnf,TNF
Ptgr1,PTGR1
Bcam,BCAM
Lum,LUM
Plaur,PLAUR
Lclat1,LCLAT1
Pla2g15,PLA2G15
Mtdh,MTDH
Lyrm4,LYRM4
Lalba,LALBA
Lyzl4,LYZL4
Lyz2,LYZ
Spaca3,SPACA3
Lyzl6,LYZL6
Cfap91,CFAP91
Mxd1,MXD1
Mxd3,MXD3
Smad3,SMAD3
Smad6,SMAD6
Smad9,SMAD9
Maf1,MAF1
Mafa,MAFA
Mafg,MAFG
Ndn,NDN
Maged1,MAGED1
Tro,TRO
Magee1,MAGEE1
Nscme3l,NSMCE3
Maged2,MAGED2
Magel2,MAGEL2
Magi3,MAGI3
Magoh,MAGOH
Magohb,MAGOHB
Isca1,ISCA1
Naa50,NAA50
Tirap,TIRAP
Malt1,MALT1
Mdga2,MDGA2
Mamdc4,MAMDC4
Maml2,MAML2
Zbtb11,ZBTB11
Man1b1,MAN1B1
Tshr,TSHR
Pdzk1ip1,PDZK1IP1
Smim24,SMIM24
Metap1d,METAP1D
Map2k6,MAP2K6
Map2k4,MAP2K4
Tab1,TAB1
Tab2,TAB2
Tab3,TAB3
Map4k2,MAP4K2
Map7d2,MAP7D2
Mapk8ip1,MAPK8IP1
Lamtor3,LAMTOR3
Mapre1,MAPRE1
Myo7a,MYO7A
Mtarc2,MTARC2
Mtarc1,MTARC1
Marchf1,MARCHF1
Marchf2,MARCHF2
Marchf4,MARCHF4
Marchf5,MARCHF5
Marchf8,MARCHF8
Marchf9,MARCHF9
Mark4,MARK4
Axin1,AXIN1
St14,ST14
Mob1a,MOB1A
Mb21d2,MB21D2
Lrfn1,LRFN1
Mboat2,MBOAT2
Mcf2,MCF2
Mcf2l,MCF2L
Mcidas,MCIDAS
Mcm5,MCM5
Mcm9,MCM9
Mcoln1,MCOLN1
Slc16a10,SLC16A10
Slc16a3,SLC16A3
Slc16a2,SLC16A2
Mcur1,MCUR1
Ly86,LY86
Ifih1,IFIH1
Saxo6,SAXO6
Ppp2r2a,PPP2R2A
Atat1,ATAT1
Borcs8,BORCS8
Megf6,MEGF6
Sfr1,SFR1
Map2k1,MAP2K1
Mtnr1a,MTNR1A
Mtnr1b,MTNR1B
Gpr50,GPR50
Opn4,OPN4
Myh11,MYH11
Men1,MEN1
Meox2,MEOX2
Mep1a,MEP1A
Mertk,MERTK
Tlnrd1,TLNRD1
Mesd,MESD
Mesp1,MESP1
Mesp2,MESP2
Msgn1,MSGN1
Metap2,METAP2
Mettl17,METTL17
Eef1akmt2,EEF1AKMT2
Ntmt1,NTMT1
Ntmt2,NTMT2
Trmt44,TRMT44
Etfbkmt,ETFBKMT
Tmt1a3,TMT1A
Tmt1b,TMT1B
Sebox,SEBOX
Tll1,TLL1
Mfn1,MFN1
Slc25a28,SLC25A28
Slc68a1,SLC68A1
Mfsd1,MFSD1
Mfsd2a,MFSD2A
Slc33a2,SLC33A2
Slc60a2-ps1,SLC60A2
Slc61a1,SLC61A1
Slc49a3,SLC49A3
Slc67a2,SLC67A2
Prpf4,PRPF4
Rps8,RPS8
Rpl14,RPL14
Mgarp,MGARP
Mogat1,MOGAT1
Mogat2,MOGAT2
Mgat3,MGAT3
Mgat5,MGAT5
Uqcrq,UQCRQ
Osr1,OSR1
Rbm42,RBM42
Ccdc28b,CCDC28B
Dnaaf6,DNAAF6
Eri1,ERI1
Ccm2,CCM2
Mfn2,MFN2
Mgrn1,MGRN1
Mgst1,MGST1
Mgst3,MGST3
Mia3,MIA3
Immt,IMMT
Mical3,MICAL3
Micall1,MICALL1
Mier3,MIER3
Riox2,RIOX2
Nr3c2,NR3C2
Minpp1,MINPP1
Mylip,MYLIP
Mir126a,MIR126
Mir129-2,MIR129-2
Mir132,MIR132
Mir19a,MIR19A
Mir19b-1,MIR19B1
Mir20a,MIR20A
Rhot1,RHOT1
Rhot2,RHOT2
Dcp1a,DCP1A
Dcp1b,DCP1B
Mitf,MITF
Smpd5,SMPD5
Hinfp,HINFP
Map2k7,MAP2K7
Mrtfb,MRTFB
Tmem67,TMEM67
Myl2,MYL2
Myl9,MYL9
Kmt2c,KMT2C
Kmt2b,KMT2B
Kmt2e,KMT2E
Mllt1,MLLT1
Afdn,AFDN
Mlph,MLPH
Mmadhc,MMADHC
Mmd2,MMD2
Mmp17,MMP17
Mmp7,MMP7
Mmp20,MMP20
Mmp25,MMP25
Ppox,PPOX
Mnt,MNT
Cab39,CAB39
Mob3c,MOB3C
Mob4,MOB4
Epb41l5,EPB41L5
Msn,MSN
Rangrf,RANGRF
Moxd2,MOXD2P
Lim2,LIM2
Ptges,PTGES
Mpp2,MPP2
Mpp3,MPP3
Paqr7,PAQR7
Paqr8,PAQR8
Ttk,TTK
Bccip,BCCIP
U2surp,U2SURP
Gpkow,GPKOW
Csgalnact2,CSGALNACT2
Tbx1,TBX1
Mrap,MRAP
Mras,MRAS
Rngtt,RNGTT
Abcc1,ABCC1
Abcc2,ABCC2
Mrpl57,MRPL57
Abcc12,ABCC12
Kdg4,KGD4
Ms4a12,MS4A12
Ms4a5,MS4A5
Ms4a14,MS4A14
Ms4a15,MS4A15
Ms4a2,MS4A2
Ms4a1,MS4A1
Ms4a3,MS4A3
Mink1,MINK1
Msra,MSRA
Mst1r,MST1R
Stk3,STK3
Stk26,STK26
Mterf3,MTERF3
Mterf2,MTERF2
Mtf1,MTF1
Phf1,PHF1
Gpam,GPAM
Cbfa2t2,CBFA2T2
Nudt1,NUDT1
Tesmin,TESMIN
Mtmr1,MTMR1
Mtmr7,MTMR7
mt-Nd1,ND1
mt-Nd3,ND3
mt-Nd4,ND4
mt-Nd4l,ND4L
mt-Nd5,ND5
mt-Nd6,ND6
Mttp,MTTP
Metrn,METRN
Mtus2,MTUS2
Duxbl1,DUXB
Mtx1,MTX1
Muc2,MUC2
Trim54,TRIM54
Mmut,MMUT
Trmu,TRMU
Mvd,MVD
Myct1,MYCT1
Cops9,COPS9
Myh7b,MYH7B
Myo10,MYO10
Myo15a,MYO15A
Myo18a,MYO18A
Myo1b,MYO1B
Myo1e,MYO1E
Lrrc39,LRRC39
Tcf23,TCF23
Tcf24,TCF24
Myo1g,MYO1G
Ppp1r12a,PPP1R12A
Myoz2,MYOZ2
Myrip,MYRIP
Kat8,KAT8
Rnf213,RNF213
Hemk2,HEMK2
Eef1akmt1,EEF1AKMT1
Rimkla,RIMKLA
Rimklb,RIMKLB
Nab1,NAB1
Nwd1,NWD1
Eda,EDA
Nadk2,NADK2
Hmcn1,HMCN1
Nlrp1b,NLRP1
Azi2,AZI2
Slc34a2,SLC34A2
Naprt,NAPRT
Cpsf4,CPSF4
Pcsk9,PCSK9
Nptx2,NPTX2
Scn4a,SCN4A
Scn8a,SCN8A
Kank3,KANK3
Ncald,NCALD
Ncam2,NCAM2
Nccrp1,NCCRP1
Nceh1,NCEH1
Nck1,NCK1
Ncoa4,NCOA4
Ncor1,NCOR1
Slc8a1,SLC8A1
Slc8a2,SLC8A2
Slc8a3,SLC8A3
Nme1,NME1
Nme3,NME3
Nme7,NME7
Ndufb8,NDUFB8
Ndufaf2,NDUFAF2
Coxfa4,COXFA4
Ndufa9,NDUFA9
Ndufab1,NDUFAB1
Ndufs8,NDUFS8
Aldh1a2,ALDH1A2
Nectin1,NECTIN1
Nedd4l,NEDD4L
Septin2,SEPTIN2
Nefl,NEFL
Nefm,NEFM
Nsmf,NSMF
Kirrel3,KIRREL3
Nphs1,NPHS1
Syne3,SYNE3
Rbfox3,RBFOX3
Neurl1a,NEURL1
Opn5,OPN5
Asah2,ASAH2
Smpd3,SMPD3
Smpd2,SMPD2
Cyfip2,CYFIP2
Nfasc,NFASC
Nfat5,NFAT5
Nfe2l1,NFE2L1
Nfe2l2,NFE2L2
Nfix,NFIX
Rela,RELA
Reck,RECK
Nfyb,NFYB
Nr4a2,NR4A2
Nr4a1,NR4A1
Nradd,NRADDP
Ngfr,NGFR
Rtn4r,RTN4R
Rtn4rl2,RTN4RL2
Rtn4rl1,RTN4RL1
Slc9a1,SLC9A1
Slc9a2,SLC9A2
Slc9a4,SLC9A4
Slc9a3,SLC9A3
Slc9a5,SLC9A5
Slc9a7,SLC9A7
Rbm19,RBM19
Nim1k,NIM1K
Pdhb,PDHB
Slc5a5,SLC5A5
Trav3n-3,TRAV5
Trav8n-2,TRAV17
Trav11,TRAV10
Trav21-dv12,TRAV26-2
Trav2,TRAV4
Thap4,THAP4
Nkx2-1,NKX2-1
Nkx2-3,NKX2-3
Nkx2-5,NKX2-5
Nkx2-6,NKX2-6
Tac2,TAC3
Slc12a1,SLC12A1
Nkd2,NKD2
Hmx2,HMX2
Nlgn2,NLGN2
Nlgn3,NLGN3
Nlk,NLK
Nod1,NOD1
Nlrc3,NLRC3
Nlrx1,NLRX1
Nlrp10,NLRP10
Nlrp6,NLRP6
Nme4,NME4
Nme5,NME5
Nme8,NME8
Nme9,NME9
Syt14,SYT14
Nmbr,NMBR
Nmd3,NMD3
Grin1,GRIN1
Rp2,RP2
Myh10,MYH10
Nmur2,NMUR2
Nmur1,NMUR1
Nos1,NOS1
Oprl1,OPRL1
Rtn4,RTN4
Ddx56,DDX56
Nol4l,NOL4L
Nop58,NOP58
Nop56,NOP56
Gar1,GAR1
Nhp2,NHP2
Nop10,NOP10
Nr4a3,NR4A3
Notch2,NOTCH2
Nrf1,NRF1
Pmaip1,PMAIP1
Pnp,PNP
Nrp1,NRP1
Nipal3,NIPAL3
Npas1,NPAS1
Npas4,NPAS4
Iqcb1,IQCB1
Nphs2,NPHS2
Nploc4,NPLOC4
Npm1,NPM1
Npnt,NPNT
Slc34a1,SLC34A1
Nptn,NPTN
Ppara,PPARA
Nr1d2,NR1D2
Rorb,RORB
Rorc,RORC
Grin2a,GRIN2A
Hnf4g,HNF4G
Rxrg,RXRG
Nrbp2,NRBP2
Nrcam,NRCAM
Nfe2l3,NFE2L3
Tenm4,TENM4
Nrg2,NRG2
Nrn1l,NRN1L
Rest,REST
Nrxn1,NRXN1
Nrxn2,NRXN2
Syncrip,SYNCRIP
Nhlh1,NHLH1
Nhlh2,NHLH2
Dagla,DAGLA
Nsf,NSF
Pcgf1,PCGF1
Cox6a1,COX6A1
Matn3,MATN3
Nxn,NXN
Ntf3,NTF3
Nt5c1a,NT5C1A
Pnpla6,PNPLA6
Ntng1,NTNG1
Ntng2,NTNG2
Entpd4,ENTPD4
Entpd6,ENTPD6
Entpd8,ENTPD8
Foxn1,FOXN1
Nudt3,NUDT3
Ranbp2,RANBP2
Nup58,NUP58
Nup42,NUP42
Wasl,WASL
Nxph2,NXPH2
Oaf,OAF
Slc22a6,SLC22A6
Slc22a8,SLC22A8
Slc22a20,SLC22A20P
Slco1c1,SLCO1C1
Slco1a8,SLCO1A2
Slco2a1,SLCO2A1
Slco3a1,SLCO3A1
Slco4a1,SLCO4A1
Slco5a1,SLCO5A1
Plxnd1,PLXND1
Stn1,STN1
Lepr,LEPR
Obscn,OBSCN
Tyr,TYR
Ocln,OCLN
Ocrl,OCRL
Slc22a1,SLC22A1
Slc22a2,SLC22A2
Slc22a3,SLC22A3
Pou3f1,POU3F1
Slc22a16,SLC22A16
Daw1,DAW1
Zic1,ZIC1
Cimap1d,CIMAP1D
Tenm1,TENM1
Omg,OMG
Ogn,OGN
Racgap1,RACGAP1
Gprc6a,GPRC6A
Olfm2,OLFM2
Olfm3,OLFM3
Olfml3,OLFML3
Olig1,OLIG1
Olig3,OLIG3
Omp,OMP
Onecut3,ONECUT3
Exosc8,EXOSC8
Tnfrsf11b,TNFRSF11B
Sigmar1,SIGMAR1
Or4d1,OR4D1
Or2ag1b,OR2AG1
Or56a3b,OR56A3
Or5k14,OR5K3
Or5ac15,OR5AC2
Or5k17,OR5K4
Or8g17,OR8G5
Or5h18,OR5H2
LTO1,LTO1
Orc1,ORC1
Orc5,ORC5
Orc6,ORC6
Slc22a13,SLC22A13
Slc22a14,SLC22A14
Slc25a15,SLC25A15
Bhlha9,BHLHA9
Osbp2,OSBP2
Osbpl10,OSBPL10
Osbpl2,OSBPL2
Osbpl3,OSBPL3
Osbpl7,OSBPL7
Oscp1,OSCP1
Clec11a,CLEC11A
Sp7,SP7
Oc90,OC90
Otol1,OTOL1
Otos,OTOS
Alg13,ALG13
Otud5,OTUD5
Ovol1,OVOL1
Ap5m1,AP5M1
Oxct1,OXCT1
Oxct2a,OXCT2
Mpz,MPZ
Nfkb2,NFKB2
Snd1,SND1
Cyba,CYBA
Tmed9,TMED9
Tmed3,TMED3
Tmed1,TMED1
P2rx5,P2RX5
P2rx6,P2RX6
Ncf4,NCF4
P4ha1,P4HA1
P4htm,P4HTM
Dctn2,DCTN2
Gtf2h4,GTF2H4
Sqstm1,SQSTM1
Gtf2h1,GTF2H1
Ncf2,NCF2
Thoc1,THOC1
Psme2,PSME2
Psme3,PSME3
Vipr2,VIPR2
Serpine1,SERPINE1
Paip2b,PAIP2B
Pak5,PAK5
Palm,PALM
Palmd,PALMD
Pamr1,PAMR1
Supt6,SUPT6H
Tacstd2,TACSTD2
Epcam,EPCAM
Panx1,PANX1
Pcdh8,PCDH8
Tent2,TENT2
Tent4b,TENT4B
Tent4a,TENT4A
Acp7,ACP7
Papln,PAPLN
Papola,PAPOLA
Papolb,PAPOLB
Pappa,PAPPA
Slc35b2,SLC35B2
Slc35b3,SLC35B3
Mmd,MMD
Paqr3,PAQR3
Paqr5,PAQR5
Tcf15,TCF15
F2r,F2R
F2rl2,F2RL2
Pawr,PAWR
Prkn,PRKN
Parl,PARL
Otud4,OTUD4
Parp14,PARP14
Parva,PARVA
Pvalb,PVALB
Pask,PASK
Pax7,PAX7
Pbrm1,PBRM1
Pbp2,PEBP1
Pbx2,PBX2
Pbx3,PBX3
Cbx2,CBX2
Pcsk5,PCSK5
Ryr2,RYR2
Kat2b,KAT2B
Pcbd1,PCBD1
Pcdh1,PCDH1
Pcdh20,PCDH20
Pcdhac2,PCDHAC2
Pcmtd2,PCMTD2
Nup85,NUP85
Pcnx1,PCNX1
Pcnx2,PCNX2
Pcnx3,PCNX3
Pcnx4,PCNX4
Chmp1a,CHMP1A
Cdk17,CDK17
Pcyt1b,PCYT1B
Pdc,PDC
Gatd1,GATD1
Pde11a,PDE11A
Pde1c,PDE1C
Pde5a,PDE5A
Pde6g,PDE6G
Pde6h,PDE6H
Pde9a,PDE9A
Pdgfa,PDGFA
Pdgfb,PDGFB
Pdgfrb,PDGFRB
Pdia6,PDIA6
Pdk2,PDK2
Podxl2,PODXL2
Pbk,PBK
Nherf4,NHERF4
Pdzd7,PDZD7
Pdzrn3,PDZRN3
Mest,MEST
Eif2ak3,EIF2AK3
Peli1,PELI1
Tbx4,TBX4
Psenen,PSENEN
Penk,PENK
Slc15a2,SLC15A2
Per1,PER1
Per3,PER3
Hspg2,HSPG2
Perm1,PERM1
Rrh,RRH
Fev,FEV
Gatb,GATB
Ptpn21,PTPN21
Dnaaf3,DNAAF3
Pfkfb4,PFKFB4
Pfkl,PFKL
Cdk15,CDK15
Oca2,OCA2
Pgf,PGF
Gpi1,GPI
Pglyrp4,PGLYRP4
Pglyrp3,PGLYRP3
Pglyrp1,PGLYRP1
Phactr4,PHACTR4
Phc3,PHC3
Phf19,PHF19
Jade2,JADE2
Jade3,JADE3
Phka1,PHKA1
Phldb1,PHLDB1
Phox2b,PHOX2B
Hacl1,HACL1
Phyhipl,PHYHIPL
Pi15,PI15
Pi4ka,PI4KA
Pi4k2a,PI4K2A
Pi4k2b,PI4K2B
Pi4kb,PI4KB
Pias4,PIAS4
Pias2,PIAS2
Pidd1,PIDD1
Pik3r3,PIK3R3
Pik3r6,PIK3R6
Get1,GET1
Lims1,LIMS1
Gsap,GSAP
Pip4k2a,PIP4K2A
Armc3,ARMC3
Pip5k1b,PIP5K1B
Pip5k1c,PIP5K1C
Pikfyve,PIKFYVE
Pou1f1,POU1F1
Pitpna,PITPNA
Pitpnc1,PITPNC1
Pitx2,PITX2
Prkcz,PRKCZ
Prkd1,PRKD1
Pkd1,PKD1
Pkdcc,PKDCC
Pkhd1l1,PKHD1L1
Pkn1,PKN1
Pkn2,PKN2
Pkp3,PKP3
Eif2ak2,EIF2AK2
Pla2g3,PLA2G3
Pla2g12a,PLA2G12A
Pllp,PLLP
